article_body,category,date_posted,title
"The move into cash by selling some SoftBank investments is in part due to concern over the continued spread of the coronavirus globally, Son told the DealBook Online Summit hosted by the New York Times.,""It's the first time in our history to liquidate any of the assets as quickly as possible,"" Son, speaking from Tokyo, said of SoftBank's recent sales.,Son said he will be ""aggressive"" if there are opportunities to invest in artificial intelligence companies.,""It is maybe a better price now for investing in unicorns. They need the funding,"" said Son, referring to private companies worth at least $1 billion. He added that he also planned on more share buybacks if SoftBank's stock falls.,SoftBank has set a $41 billion share buy-back and debt reduction plan. Its stock has more than doubled since its lows in March.,Son declined to comment on reports that SoftBank is thinking about taking itself private.",Business News,2020-11-17,SoftBank's Son wants to deploy cash on public and private firms
"The surge in demand for essentials seen at the peak of the coronavirus lockdowns has carried into the second half of the year, with consumers relying on its same-day delivery and store pick-up services to buy everything from groceries to sporting goods.,This helped its U.S. e-commerce sales grow 79% with strong results across all channels and helped boost same-store sales and profit margins.,The company did not disclose any metrics about the new service that costs $98 per year and offers services such as unlimited free delivery, fuel discounts and no checkout lines.,""This holiday season will obviously be unique ... While many family gatherings may be smaller, we do believe families want to decorate, celebrate and enjoy food and gifts,"" Chief Executive Officer Doug McMillon said on a call with analysts.,An early start to the holiday season has helped Bentonville, Arkansas-based Walmart give ""customers the opportunity to come to stores when they aren't as crowded as they typically would be on a one-day Black Friday type of event,"" Chief Financial Officer Brett Biggs told Reuters.,Still executives warned of continued pressure from COVID-19 related expenses. It incurred about $600 million in additional costs that included higher wages for warehouse workers and bonuses for store employees in the quarter and about $1.5 billion in such expenses in the prior quarter.,With COVID-19 cases rising in much of the United States and across the world that has forced countries like the UK to go into another lockdown, CEO McMillon said that Walmart was reinforcing safety procedures and has resumed limiting the number of shoppers allowed in stores at one time.,Walmart also said that it had begun to see consumers stocking up again on paper goods, cleaning supplies and dry grocery, and said would be able to respond in this instance better than it did at the start of the pandemic, but cautioned that supply chain was ""still stressed in some places."",Shares were down marginally at $151.95. They have risen 28% this year.,McMillon also called for Washington to help small businesses get through the next phase of the pandemic, while congratulating U.S. President-elect Joe Biden on his victory, saying that he was looking forward to working with the administration.,Sales at U.S. stores open at least a year rose 6.4%, excluding fuel, in the third quarter ended Oct. 31. Analysts had estimated an increase of 4.16%, according to IBES data from Refinitiv.,Operating income jumped 22.5% to $5.79 billion in the third quarter, while Walmart reported adjusted earnings per share of $1.34 that topped expectations for $1.18.,Total revenue rose 5.2% to $134.71 billion, beating estimates for $132.23 billion.",Retail,2020-11-17,Walmart forecasts promising holiday season as online sales soar
"(Reuters) - One of GameStop Corp's largest shareholders, Ryan Cohen, has urged the videogame retailer to conduct a strategic review of its business and to focus on digital sales by moving away from its traditional brick-and-mortar model.,Cohen, who is also a co-founder of e-commerce firm Chewy Inc, had raised his stake in GameStop in September and disclosed that he was in discussions with the company's management and board members.,""GameStop needs to evolve into a technology company that delights gamers and delivers exceptional digital experiences – not remain a videogame retailer that overprioritizes its brick-and-mortar footprint and stumbles around the online ecosystem,"" Cohen said in a letter , filed with regulators on Tuesday.,The world's largest videogame retailer has been hit as customers moved to digital downloads of console games, coupled with intense competition from videogame streaming services.,The company shared a similar goal as Cohen to pursue a strategic plan that is in the best interests of all shareholders, a GameStop spokesperson said, adding that Cohen had rebuffed multiple offers to join the board and recent efforts to engage.,Cohen's RC Ventures LLC, which owns nearly 10% of GameStop's outstanding common stock, also said it was not interested in getting a lone board seat.,""It is not enticing to become an isolated stockholder advocate on a board that has overlooked years of digital revenue opportunities,"" RC Ventures said.,Shares of Grapevine, Texas-based GameStop were down nearly 5% at $11.46.",Technology News,2020-11-17,GameStop investor Ryan Cohen urges strategic review
"It received $48.1 billion in orders for the debt sale, less than half what it drew for its debut bond sale last year, when it raised $12 billion, a document issued by one of the banks leading the deal showed.,The move is part of an onslaught on international debt markets by Gulf issuers seeking to plug finances hit by the pandemic and weak oil prices, which has pushed regional issuance past last year's record to surpass $100 billion.,It also raised a loan of $10 billion this year, to be paid in instalments until 2028, to back that acquisition.,Aramco sold $500 million in three-year bonds at 110 basis points over U.S. Treasuries (UST), $1 billion in five-year bonds at 125 bps over UST, $2 billion in 10-year notes at 145 bps over UST, $2.25 billion in 30-year bonds at 3.3% and $2.25 billion in a 50-year tranche at 3.55%, the document showed.,""I think the shorter-end is offering a bit more value than the longer-dated bonds to where the existing bonds are trading,"" said Max Wolman, senior portfolio manager at Aberdeen Asset Management.,Aramco tightened the spreads on the tranches with maturities of three, five and 10 years by 30 bps from where it began marketing them earlier on Tuesday. The spreads on the 30- and 50-year tranches were tightened by around 40 bps.,Last year, Aramco priced its debut bonds inside the Saudi government's debt curve, but this bond sale was wider.,The 50-year tranche is the longest-dated international debt issued by Saudi Arabia. In April, it issued a 40-year bond tranche - at the time the longest-dated dollar issuance by a Gulf borrower, only to be overtaken by a 50-year tranche by Abu Dhabi in August.",Energy & Environment,2020-11-17,Saudi Aramco gets $8 billion with jumbo five-part bond deal
"WASHINGTON (Reuters) - U.S. retail sales increased less than expected in October and could slow further, restrained by spiraling new COVID-19 infections and declining household income as millions of unemployed Americans lose government financial support.,While other data on Tuesday showed production at factories accelerating last month, output remained well below its pre-pandemic level and the uncontrolled coronavirus outbreak could disrupt production. The public health crisis and frail economy are major challenges confronting President-elect Joe Biden when he takes over from President Donald Trump in January.,Biden on Monday urged a divided Congress to come together and pass another pandemic relief package.,That is unlikely to happen before he is sworn in on Jan. 20, putting pressure on the Federal Reserve to pump more money into the economy, which plunged into recession in February. Fed Chair Jerome Powell said on Tuesday that the recovery was slowing, adding the economy would continue to need support from both fiscal and monetary policy.,""It looks like consumer spending is increasingly turning into a headwind for this recovery from the worst economic downturn since the Great Depression,"" said Chris Rupkey, chief economist at MUFG in New York. ""Fed officials are saying they might have to do more and today's data may turn that thinking into a reality."",Retail sales rose 0.3% last month, the smallest gain since the recovery started in May, after increasing 1.6% in September, the Commerce Department said. They account for the goods component of consumer spending, with services such as healthcare and hotel accommodation making up the other portion.,Consumers bought motor vehicles at a much slower pace than in previous months. There were increases in sales of electronics and appliances, as well as building materials and garden equipment. But households cut back spending on sporting goods and hobbies, clothing, furniture, drinking and dining out.,Economists polled by Reuters had forecast retail sales would gain 0.5% in October. Retail sales rose 5.7% on a year-on-year basis in October and are above their February level, with the pandemic shifting demand away from services to goods.,Daily new coronavirus cases have been exceeding 100,000 since early this month, pushing the number of infections in the United States above 11 million, according to a Reuters tally.,While there have been encouraging developments on experimental vaccines, health experts warn that rolling out the vaccines would be challenging.,Some state and local governments have imposed new restrictions on businesses.,Restrictions and consumer avoidance of crowded places like bars and restaurants could undercut spending and trigger another wave of layoffs, further squeezing incomes following the loss of a government weekly unemployment subsidy.,The supplement, which was part of more than $3 trillion in government coronavirus relief, has lapsed for millions of unemployed and underemployed workers.,Millions more will lose benefits next month when government-funded programs for the self-employed, gig workers and others who do not qualify for regular state unemployment and those who have exhausted their six months of eligibility expire.,Excluding automobiles, gasoline, building materials and food services, retail sales gained 0.1% after a downwardly revised 0.9% increase in September. These so-called core retail sales correspond most closely with the consumer spending component of gross domestic product. They were previously estimated to have risen 1.4% in September.,Economists expect moderate retail sales growth for the rest of the year, which would contribute to slower economic growth after a historic rebound in gross domestic product in the third quarter. A JPMorgan survey of credit and debit cardholders showed a broad decline in spending through Nov. 9, with big drops in states where COVID-19 is spreading most rapidly.,Consumer sentiment ebbed in early November amid worries about finances.,A separate report from the Fed on Tuesday showed manufacturing output increased 1.0% last month after rising 0.1% in September. Production remains about 5% below its pre-pandemic level. Output was boosted by production of aerospace and miscellaneous transportation equipment, offsetting decreases in furniture, fabricated metal products, motor vehicles and parts.,""Manufacturing can only hold up if households keep buying and they need income to do that,"" said Joel Naroff, chief economist at Naroff Economics in Holland, Pennsylvania.,Mining output fell 0.6% as oil and gas extraction declined. Weakness in oil and gas extraction is likely to continue depressing business spending on nonresidential structures, buttressing forecasts for moderate growth in the fourth quarter.,Growth estimates for the fourth quarter are below a 5% annualized rate. The economy grew at a 33.1% rate in the July-September quarter after contracting at a 31.4% pace in the second quarter, the deepest since the government started keeping records in 1947.",Business News,2020-11-17,"U.S. retail sales lose speed as pandemic, lack of fiscal stimulus weigh"
"DETROIT (Reuters) - Former United Auto Workers Vice President Joseph Ashton on Tuesday was sentenced to 30 months in prison for accepting kickbacks as part of a wide-ranging federal corruption probe into the union.,Ashton, a former General Motors Co board member, pleaded guilty in December 2019 to conspiring with other union officials to receive ""hundreds of thousands of dollars in bribes and kickbacks,"" according to documents filed in U.S. district court in Detroit.,Ashton had faced prison time of 30 to 37 months under a plea agreement, but his attorney asked U.S. District Judge Bernard Friedman for house arrest and a substantial fine instead.,Friedman said on a webcast of the hearing that there were too many victims and a message had to be sent.,""Punishment in this matter is important ... for deterrence,"" he said. ""People have to know there's a consequence."",Ashton on Tuesday apologized to the union and his family.,""I cannot tell you how ashamed and remorseful I am for what I've done,"" he said.,Ashton, who left the GM board in December 2017 amid the federal investigation, previously forfeited the $250,000 in kickbacks he received.,The U.S. attorney's office in Detroit has been leading a corruption probe into the union that had led to 15 people being charged, including two former presidents. Prosecutors are talking with UAW leaders about reforming the union's structure.,Federal prosecutors said Ashton and other UAW officials steered an inflated $4 million contract to a vendor to provide 58,000 watches to UAW members. The watches were never distributed.,Assistant U.S. Attorney Frances Carlson said Ashton had been ""motivated by pure greed."",Due to the coronavirus outbreak and Ashton's underlying health conditions, he doesn't have to report to prison until next June, the judge said.",Autos,2020-11-17,Former UAW exec and GM board member sentenced to 30 months in prison for taking kickbacks
"Called Amazon Pharmacy, the new store lets customers price-compare as they buy drugs on the company's website or app. Shoppers can toggle at checkout between their co-pay and a non-insurance option, heavily discounted for members of its loyalty club Prime.,The move builds on the web retailer's 2018 acquisition of PillPack, which Amazon said will remain separate for customers needing pre-sorted doses of multiple drugs.,Shares of pharmacy chains, drug wholesalers and grocers fell in afternoon trading. Amazon's shares were up nearly 1%.,Over the past two years, Amazon has worked to secure more state licenses for shipping prescriptions across the country, which had been an obstacle to its expansion into the drug supply chain, according to analyst notes from Jefferies Equity Research.,The company founded as an online bookseller has disrupted industries including retail, computing and now potentially pharmaceuticals, drawing criticism of its size and power from labor groups and lawmakers along the way.,TJ Parker, PillPack's CEO and vice president of Amazon Pharmacy, said in a statement the retailer aimed to bring ""customer obsession to an industry that can be inconvenient and confusing."",""Amazon's launch of an online pharmacy is a meaningful threat to brick and mortar pharmacies,"" Northwestern University's Kellogg School of Management professor Craig Garthwaite said.,""These retail pharmacies must now offer more than just easy access to a prescription."",""New entrants to the highly competitive pharmacy market come as no surprise to us,"" CVS Health said in a statement. ""While pharmacy is a core component of our business, CVS Health is so much more than your corner drug store."",Walgreens said in a statement it already provides a full and growing range of pharmacy, health and wellness solutions to its customers and patients, and offers free same-day and next-day delivery options.,Should Prime members prefer buying in person, Amazon said its discounts on non-insurance purchases apply at more than 50,000 brick-and-mortar pharmacies - including those run by rivals. Inside Rx, a subsidiary of Cigna's Evernorth, administers that benefit, Amazon said.,Still, the pandemic may help bring drug orders online. E-commerce has surged this year as governments told people to stay home to stave off infections of COVID-19, and Prime members - more than 150 million globally - may be receptive to buying medication online now that it's from Amazon.,The company said Prime subscribers get up to 80% off generic and up to 40% off brand drugs when they pay without insurance, as well as two-day delivery.,Amazon's online pharmacy is not yet available in Illinois, Minnesota, Louisiana, Kentucky, and Hawaii, a spokeswoman said.",Healthcare & Pharma,2020-11-17,Amazon launches online pharmacy in new contest with drug retail
"The company on Monday named Peiter Zatko, widely known by his hacker handle Mudge, to the new position of head of security, giving him a broad mandate to recommend changes in structure and practices. Zatko answers to CEO Jack Dorsey and is expected to take over management of key security functions after a 45- to 60-day review.,In an exclusive interview, Zatko said he will examine ""information security, site integrity, physical security, platform integrity -- which starts to touch on abuse and manipulation of the platform -- and engineering."",Zatko most recently oversaw security at the electronic payments unicorn Stripe. Before that, he worked on special projects at Google and oversaw handing out grants for projects on cybersecurity at the Pentagon's famed Defense Advanced Research and Projects Agency (DARPA).,Zatko's colorful career began in the 1990s, when he simultaneously conducted classified work for a government contractor and was among the leaders of Cult of the Dead Cow, a hacking group notorious for releasing Windows hacking tools in order to goad Microsoft into improving security. ,""I don't know if anyone can fix Twitter's security, but he'd be at the top of my list,"" said Dan Kaufman, who supervised Zatko at DARPA and now leads the advanced products group at Google.,Twitter faces numerous security challenges. A year ago, the U.S. government accused two men of spying for Saudi Arabia when they worked at Twitter years earlier, saying that they passed along private information about the kingdom's critics. ,In July, a group of young hackers tricked employees and won access to internal tools, which let them change account settings and then tweet from the accounts of then-presidential candidate Joe Biden, Microsoft founder Bill Gates and Tesla Chief Executive Elon Musk. ,.,""The data breach this summer was an important reminder of how far Twitter needs to go in building some of the basic security functions necessary to run a service targeted by adversaries much more skilled than the teenagers arrested for that incident,"" said Alex Stamos, a former Facebook chief security officer and current Stanford researcher who has helped lead efforts to fight election disinformation.,Stamos, who once worked for Zatko's security consultancy, called him a great fit for a company lacking the financial muscle of Facebook and Google. ""They are going to have to find creative solutions to these problems, and if Mudge is famous for anything in security, it is being creative."",Zatko said he was committed to improving public conversations on Twitter. He praised a recent move to increase ""friction"" by prompting users to comment instead of simply retweeting; a next step could be to force people to understand a long conversation before participating in it, he said.,Zatko said he appreciated Twitter's openness to unconventional security approaches, such as his proposal for confusing bad actors by manipulating the data they receive from Twitter about how people interact with their posts.,""They are willing to take some risks,"" Zatko said of his new employer. ""With the challenges of algorithms and algorithmic bias, they are not standing by and waiting until someone else solves the problem.""",Technology News,2020-11-17,Twitter names famed hacker 'Mudge' as head of security
"WASHINGTON (Reuters) - The White House on Tuesday said it expected the U.S. Senate to eventually confirm Judy Shelton, President Donald Trump's nominee for the Federal Reserve, despite a vote to block her nomination earlier in the afternoon.,""President @realDonaldTrump's nominee to the Federal Reserve is incredibly qualified. The @WhiteHouse fully supports her, and we remain confident that Judy Shelton will be confirmed upon reconsideration,"" White House spokesman Judd Deere wrote in a tweet.",Business News,2020-11-17,White House confident Fed nominee Shelton will eventually be confirmed
"NEW YORK (Reuters) - A gauge of global stocks edged lower from a record on Tuesday, as rising coronavirus cases raised concerns about fresh lockdown measures and tamped down recent optimism over promising vaccine trial results.,U.S. stocks moved off their worst levels of the day but the Dow and S&P 500 remained in the red as several states imposed new restrictions on gatherings amid climbing COVID-19 cases and the onset of colder weather.,""We have a lot of risk in the next few months but the market as whole disagrees,"" said Mike Zigmont, head of research and trading at Harvest Volatility Management in New York.,""So maybe the market is in for a rude surprise."",Still, analysts have warned that absent a new fiscal stimulus package, the economy is likely to falter until a vaccine is available for distribution. U.S. Senate Majority Leader Mitch McConnell said he is open to a $500 billion package, but noted he has not had any private discussions with Democrats who control the House of Representatives or President-elect Joe Biden.,Data on Tuesday showed retail sales increased less than forecast in October, with the potential for even further slowing. Factory production accelerated but remained well below levels prior to the pandemic.,Federal reserve Chair Jerome Powell said on Tuesday the current surge in coronavirus cases is a big concern, and the economy will continue to need both fiscal and monetary policy support.,European shares closed lower and the STOXX 600 dipped from an eight-month high, as Sweden moved to restrict the size of public gatherings and a British medical adviser suggested strengthening the three-tier system of restrictions when the full lockdown in England ends.,U.S. Treasury yields fell in the wake of the retail sales report as it underscored the possibility of a slowdown in the fourth quarter.,The U.S. dollar remained soft, touching its lowest level in a week, with expectations for continued weakness on expectations for more fiscal and monetary stimulus as well as optimism over a potential vaccine.,(Graphic: China's Yuan is surging link: ),Crude prices were little changed, as short-term demand concerns overshadowed vaccine hopes and the possibility of tighter supply policy from OPEC+ in 2021.,U.S. crude settled up 0.22% at $41.43 per barrel and Brent was $43.75, down 0.16% on the day.",Middle East & Africa,2020-11-17,Global stocks slip from record as investors gauge vaccine hope with virus concern
"WASHINGTON (Reuters) - Republican senators on Tuesday attacked the chief executives of Facebook and Twitter for what they called censorship of President Trump and his allies during the U.S. election while Democrats bemoaned the spread of misinformation on social media.,The CEOs, Jack Dorsey of Twitter and Mark Zuckerberg of Facebook, defended their content moderation practices at a congressional hearing scheduled after the platforms decided to block stories from the New York Post that made claims about the son of then-Democratic presidential candidate Joe Biden.,The move incited uproar among Republican lawmakers who have consistently accused the companies of anti-conservative bias.,In his opening remarks, Judiciary Committee chairman Lindsey Graham asked: ""What I want to try to find out is if you're not a newspaper at Twitter or Facebook, then why do you have editorial control over the New York Post?"",He said he did not think articles on Hunter Biden, refuted by the Biden campaign, needed to be flagged or excluded from distribution.,Democrats focused on the spread of misinformation by Trump, a Republican, and his supporters. They pushed the companies to limit the spread of false and misleading content ahead of elections in Georgia, where two Republican incumbent senators, David Perdue and Kelly Loeffler, are facing run-offs against well-funded Democratic opponents - contests that will likely determine which party controls the Senate.,Zuckerberg and Dorsey admitted the companies have made some mistakes, but mostly defended their policies.,However, broader problems with their content moderation decisions, especially around violent speech, became evident when Senator Richard Blumenthal, a Democrat, asked Facebook's Zuckerberg if he would commit to taking down the account of former Trump White House adviser Steve Bannon after he suggested the beheading of two senior U.S. officials.,Zuckerberg refused. ""Senator, no. That's not what our policies would suggest that we should do in this case,"" he said.,Reuters reported last week that Zuckerberg told an all-staff meeting that Bannon had not violated enough of Facebook's policies to justify his suspension.,Blumenthal also noted that Alphabet Inc's Google, which owns YouTube, had been given a ""pass"" from the hearing, saying that the company was being rewarded for its ""timidity"" in content moderation.,Zuckerberg and Dorsey also fielded several pointed questions on whether they act as publishers, which the CEOs said they were not.,Upset over the companies' decision on what to leave on the platform and what to take down, many Republican lawmakers and Trump have threatened to take away protections for internet companies under a federal law called Section 230 of the Communications Decency Act. The law protects companies from being sued over material users post on their platforms.,Graham also said he hopes Section 230 is changed.,""When you have companies that have the power of government, have far more power than traditional media outlets, something has to give,"" he said. President-elect Biden has also said he favors repealing Section 230. Congressional Democrats, however, prefer a more deliberate approach to reforming the law.,Zuckerberg and Dorsey said they would be open to some reforms to the law.,At an October hearing, Twitter's Dorsey said eroding Section 230 could significantly hurt how people communicate online. Zuckerberg said he supports changing the law but also said tech platforms were likely to censor more to avoid legal risks if the law is repealed.",India Top News,2020-11-18,"'More power than traditional media': Facebook, Twitter policies attacked"
"(Reuters) - Love it or hate it, a much broader universe of portfolio managers will soon have to take a stance on Tesla's stock, which surged 8% on Tuesday following the announcement that it will join the S&P 500.,The electric car maker's stock market value shot up about $40 billion on expectations that Tesla's inclusion in Wall Street's most-followed U.S. stock index in December, announced late on Monday, will force passive funds tracking the index to buy over $50 billion of its shares.,Its inclusion will also force actively managed funds that try to beat the S&P 500 to grapple with a question many have avoided for years: whether to own shares of Wall Street's most controversial companies, and if so, how many?,""Tesla is a very under-owned stock across actively managed funds,"" said King Lip, chief investment strategist at Baker Avenue Asset Management in San Francisco, which owns Tesla shares.,""If Tesla starts to take off… and if they don't own Tesla, then they are going to underperform by a pretty meaty amount,"" he said.,Many fund managers until now have avoided Tesla, according to Lip, because its low profitability and high debt exclude it from screening lists drawn up by fund managers considering new investments.,Many investors believe Tesla's stock is in a bubble, and some have warned against adding it to the S&P 500 at current levels. Adding to uncertainty around Tesla is Chief Executive Elon Musk, viewed by many as a genius entrepreneur, but who in 2018 agreed to pay $20 million and step down as chairman to settle fraud charges.,With Tesla in the S&P 500, actively managed funds that avoid its shares will risk falling behind if Tesla's blistering rally continues. On the other hand, they may find themselves ahead if they keep the company out of their portfolios and the stock's high-flying performance reverses.,""Many active managers shadow the S&P 500, so this makes it more difficult for them to ignore Tesla,"" said Quincy Krosby, chief market strategist at Prudential Financial in Newark, New Jersey.,Krosby compared Tesla's inclusion in the S&P 500 to China's gradual addition in recent years to MSCI's widely tracked equity benchmarks, which led global investors that rate their performance against those indexes to pour hundreds of billions of dollars into the country's stock markets.,Adding companies with extremely high stock market values to the S&P 500 is exceedingly rare, and S&P Dow Jones Indices said Tesla's addition will generate a massive amount of trading by index funds. To ease its addition, S&P Dow Jones Indices said it may add Tesla to the index in two parts, with the company fully added as of Dec. 21.,""Many so-called active management funds are benchmark huggers and now they're going to have to tinker with what weighting to apply"" to Tesla, said David Barse of index company XOUT Capital. ""Many of them are going to realize they have to add it.""",Autos,2020-11-17,Tesla surges as fund managers face big decision: How much to own
"The bank had announced , ""a modest number of layoffs"" in September after pausing job cuts earlier this year due to the COVID-19 pandemic.,Goldman is looking for ways to cut costs to achieve a target of reducing operating expenses by $1.3 billion over the next three years, which it announced in January as part of a broader strategic revamp.,The latest round of job cuts is not expected to exceed the roughly 400 positions the bank began eliminating in September, Bloomberg News reported earlier on Tuesday.,Goldman executives expect to go deeper in the coming year, which could eventually lead to one of the most significant staff reductions at the bank, according to the report.,In an email to Reuters, Goldman reiterated its statement from earlier this year, saying it ""has made a decision to move forward with a modest number of layoffs."",It was not clear if there would be further job cuts next year, sources told Reuters.,Goldman is also looking to reduce costs by locating more staff in less expensive locations such as Salt Lake City, Dallas and Bengaluru, India, Chief Financial Officer Stephen Scherr said earlier this month.",Business News,2020-11-17,Goldman Sachs plans further job cuts: sources
"NEW YORK (Reuters) - U.S. stocks retreated from record closing highs on Tuesday, ending lower as surging COVID-19 cases, the growing threat of a fresh round of economic lockdowns and weak retail sales data dampened the euphoria caused by potential vaccine breakthroughs.,The sell-off was a reversal of Monday's rally, in which the blue-chip Dow reached its first record closing high since before the pandemic.,The Nasdaq's loss was capped by surging Tesla Inc shares, and small cap stocks outperformed, with the Russell 2000 reaching a new record closing high.,Monday's rally was prompted by Moderna Inc's announcement that its COVID-19 vaccine candidate appears to be 94.5% effective in preventing infection.,But a recent surge in new coronavirus cases across the United States has led several governors to enact new restrictions to prevent the disease from spiraling out of control.,""It's going to be the vaccine versus the virus, flip-flopping back and forth until we get to the point where the vaccine is rolled out,"" said Joseph Sroka, chief investment officer at NovaPoint in Atlanta. ""It's like standing on the edge of a valley - I can look down and see the rising case loads or I can look across to the vaccine."",The retail sales report released by the Commerce Department showed spending decelerating as the holiday shopping season approaches amid a lack of forthcoming fiscal relief from Washington.,The Dow Jones Industrial Average fell 167.09 points, or 0.56%, to 29,783.35, the S&P 500 lost 17.38 points, or 0.48%, to 3,609.53 and the Nasdaq Composite dropped 24.79 points, or 0.21%, to 11,899.34.,Among 11 major sectors of the S&P 500, only energy and real estate closed in the black, with utilities and healthcare stocks faring the worst.,Third-quarter earnings season is in its final stretch, with 465 of the companies in the S&P 500 having reported. Of those, 84.5% have beaten consensus estimates, according to Refinitiv data.,This week brings quarterly results from series of high-profile retailers.,Walmart Inc beat profit expectations and posted a bigger-than-expected 6.4% annual growth in same-store sales.,Home improvement retailer Home Depot Inc also beat quarterly profit and sales estimates as consumers used stay-at-home restrictions to focus on DIY home projects.,Still, Walmart's and Home Depot's stocks fell 2.0% and 2.5%, respectively.,But Kohl's Corp jumped 11.6% after the department store chain posted a surprise quarterly profit and forecast strong margins for the upcoming holiday season.,Target Corp and Lowe's Companies Inc results are expected before the bell on Wednesday.,Shares of Tesla jumped 8.2% after S&P Dow Jones Indices announced it would add the electric automaker to the S&P 500 on Dec. 21.,Amazon.com Inc launched an online pharmacy in the United States, sending shares of rival drug retailers Walgreens Boots Alliance Inc and CVS Health Corp down 9.6% and 8.6%, respectively.,Advancing issues outnumbered declining ones on the NYSE by a 1.30-to-1 ratio; on Nasdaq, a 1.07-to-1 ratio favored advancers.,The S&P 500 posted 27 new 52-week highs and no new lows; the Nasdaq Composite recorded 119 new highs and 10 new lows.,Volume on U.S. exchanges was 10.46 billion shares, compared with the 10.30 billion average over the last 20 trading days.",Business News,2020-11-17,Wall Street closes lower as shutdown worries loom
"The target supposes a quintupling of the business, said Hanneke Faber, president of Unilever's foods and refreshment business.,""It will require really, really high growth rates,"" Faber told Reuters. ""It's a scary target honestly, but I think it's important that we set it."",Some of Unilever's vegan products - like its competitors' - are pricier than the real thing, which could turn off some cash-strapped shoppers in a recession.,""Scale is going to make a difference over time,"" Faber said, adding that it will be a few years before prices come down enough to be comparable, though its vegan mayonnaise could be comparable sooner.,Unilever bought Vegetarian Butcher in 2019 and has expanded it to more than 30 countries. It is the regional supplier for Burger King's plant-based Whopper and nuggets.,Polaris Market Research in July forecast the global plant-based meat market to grow 15.8 percent a year over the next seven years, from $11 billion in 2019, helped by the growing popularity of veganism, increased nutritional awareness and pandemic-fueled health concerns.,When asked about acquisitions in plant-based food, Faber said: ""Organic growth will be our priority, but never say never"".",Business News,2020-11-18,"Unilever sets 1 billion euro sales target for meat, dairy alternatives"
"The new Zero Emission Transportation Association wants to boost consumer electric vehicle incentives and encourage the retirement of gasoline-powered vehicles. It also advocates for tougher emissions and performance standards that will potentially enable full electrification by 2030.,Under President Donald Trump, the White House rejected new tax credits for electric vehicles as it proposed to kill existing credits and made it easier to sell gas-guzzling vehicles.,President-elect Joe Biden promises new tax incentives, including new rebates to buy EVs and a dramatic expansion of charging stations for electric vehicles - policy measures automakers have long advocated.,""We can own the electric vehicle market — building 550,000 charging stations — and creating over a million good jobs here at home — with the federal government investing more in clean energy research,"" Biden said Monday.,Biden's measures are in line with the group's call for ""strong federal charging infrastructure investments"" and its goal to reach 100% electric vehicle sales by 2030.,Uber chief executive Dara Khosrowshahi said the group will support ""Uber's work to move 100% of rides to EVs in (the United States), Canadian and European cities by 2030 and go fully zero-emissions by 2040. It will take all of us working together to address the urgent crisis of climate change."",Automakers in the United States sold 326,000 EVs in 2019, accounting for about 2% of total U.S. auto sales. Tesla sold nearly 60% of the total.,In September, California Governor Gavin Newsom said the state plans to ban the sale of new gasoline powered passenger cars and trucks starting in 2035 in a dramatic move to shift to electric vehicles and reduce greenhouse gas emissions.,California is the largest U.S. auto market, accounting for about 11% of all U.S. vehicle sales. Many states have adopted its green vehicle mandates.",Autos,2020-11-18,"Utilities, Tesla, Uber create U.S. lobbying group for electric vehicle industry"
